-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
## Call CompiledFxGraph filibp3mlth44miz5ofsnjc5yfse...         0.00%       0.000us         0.00%       0.000us       0.000us       2.831ms         1.38%       2.831ms       2.831ms             1            --  
## Call CompiledFxGraph ffxvko7rugsixfkum5egflq2v24x...         0.00%       0.000us         0.00%       0.000us       0.000us       2.798ms         1.36%       2.798ms       2.798ms             1            --  
## Call CompiledFxGraph fwclhzlw4jv3ekqxfjtalldzyjcp...         0.00%       0.000us         0.00%       0.000us       0.000us       2.776ms         1.35%       2.776ms       2.776ms             1            --  
## Call CompiledFxGraph fwc7bi37ilbsy4tlvxtveu23j44z...         0.00%       0.000us         0.00%       0.000us       0.000us       2.769ms         1.35%       2.769ms       2.769ms             1            --  
## Call CompiledFxGraph fbn6g3pzm77laasrripzue64jvcg...         0.00%       0.000us         0.00%       0.000us       0.000us       2.754ms         1.34%       2.754ms       2.754ms             1            --  
## Call CompiledFxGraph f3eg6w2lvltbpa6jhfgcsge44bsv...         0.00%       0.000us         0.00%       0.000us       0.000us       2.747ms         1.34%       2.747ms       2.747ms             1            --  
         nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.738ms         1.33%       2.738ms      44.162us            62            --  
## Call CompiledFxGraph fbmaayr77gj6yvp5uala6qb3f52q...         0.00%       0.000us         0.00%       0.000us       0.000us       2.735ms         1.33%       2.735ms       2.735ms             1            --  
## Call CompiledFxGraph fxdr5x3jnn7t2u5qeesb5oanvpnr...         0.00%       0.000us         0.00%       0.000us       0.000us       2.733ms         1.33%       2.733ms       2.733ms             1            --  
## Call CompiledFxGraph fyxqeeewokh2otren7nvti5ir4de...         0.00%       0.000us         0.00%       0.000us       0.000us       2.726ms         1.33%       2.726ms       2.726ms             1            --  
