-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
## Call CompiledFxGraph filibp3mlth44miz5ofsnjc5yfse...         0.00%       0.000us         0.00%       0.000us       0.000us       2.914ms         1.38%       2.914ms       2.914ms             1            --  
         nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.908ms         1.38%       2.908ms      46.904us            62            --  
## Call CompiledFxGraph f72ea3hgfhjvi6uiapvgfd75tc5c...         0.00%       0.000us         0.00%       0.000us       0.000us       2.841ms         1.35%       2.841ms       2.841ms             1            --  
## Call CompiledFxGraph f2vbdbgteieaeyx7ngcfhy4veq2p...         0.00%       0.000us         0.00%       0.000us       0.000us       2.763ms         1.31%       2.763ms       2.763ms             1            --  
## Call CompiledFxGraph f7vng4qpdxyx2gx7cjmb7db5ynh6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.762ms         1.31%       2.762ms       2.762ms             1            --  
## Call CompiledFxGraph fygafvvz5ifw4p5jjtf6vlyantho...         0.00%       0.000us         0.00%       0.000us       0.000us       2.762ms         1.31%       2.762ms       2.762ms             1            --  
## Call CompiledFxGraph fryg3qokn3kkt7pnwkbxdfrw6xzq...         0.00%       0.000us         0.00%       0.000us       0.000us       2.760ms         1.31%       2.760ms       2.760ms             1            --  
## Call CompiledFxGraph fwclhzlw4jv3ekqxfjtalldzyjcp...         0.00%       0.000us         0.00%       0.000us       0.000us       2.760ms         1.31%       2.760ms       2.760ms             1            --  
## Call CompiledFxGraph fp3iqzfxasorezhqleoyuljhjrl3...         0.00%       0.000us         0.00%       0.000us       0.000us       2.758ms         1.31%       2.758ms       2.758ms             1            --  
## Call CompiledFxGraph fwn7tq2bzbk5zxqd45fxepyew6a2...         0.00%       0.000us         0.00%       0.000us       0.000us       2.748ms         1.31%       2.748ms       2.748ms             1            --  
## Call CompiledFxGraph fr2gaccm5zollr735thanhpwycxz...         0.00%       0.000us         0.00%       0.000us       0.000us       2.746ms         1.30%       2.746ms       2.746ms             1            --  
## Call CompiledFxGraph fbh6flwcoynutsyk6pzhwhivwg2j...         0.00%       0.000us         0.00%       0.000us       0.000us       2.741ms         1.30%       2.741ms       2.741ms             1            --  
## Call CompiledFxGraph fa4ylanpc6idjbs57p36xm5sgbc3...         0.00%       0.000us         0.00%       0.000us       0.000us       2.739ms         1.30%       2.739ms       2.739ms             1            --  
## Call CompiledFxGraph f6ch6acwqmtcxewddl2k5ubezaqr...         0.00%       0.000us         0.00%       0.000us       0.000us       2.735ms         1.30%       2.735ms       2.735ms             1            --  
## Call CompiledFxGraph fr67a5nra4rwxbw7qxzqktzjmods...         0.00%       0.000us         0.00%       0.000us       0.000us       2.731ms         1.30%       2.731ms       2.731ms             1            --  
## Call CompiledFxGraph f5sqe4aye4ixvt6ll5daox4rckmb...         0.00%       0.000us         0.00%       0.000us       0.000us       2.729ms         1.30%       2.729ms       2.729ms             1            --  
